source,source_url,root_url,base_url,name,generator,status_code,api_base_url,site_title,version,locale,extensions,source_or_base,package_list_count,package_list_source_base_or_apibase,tag_list_count,tag_list_source_base_or_apibase,organization_list_count,organization_list_source_base_or_apibase,oldest_metadata_created_date,most_recent_update_date,dates_source_base_or_apibase
datashades.info,https://data.cambridgeshireinsight.org.uk/search/field_topics/type/dataset?sort_by=changed,data.cambridgeshireinsight.org.uk,https://data.cambridgeshireinsight.org.uk,Search | Cambridgeshire Insight Open Data,,200,,,,,,,233,base_url,,,,,,,
datashades.info,https://africaopendata.org,africaopendata.org,https://africaopendata.org,Welcome - openAFRICA,,200,https://openafrica.net,openAFRICA,2.8.3,en,"['stats', 'text_view', 'image_view', 'recline_view', 'recline_grid_view', 'gdoc_view', 'resource_proxy', 'harvest', 'ckan_harvester', 's3filestore', 'openafrica', 'datarequests', 'showcase', 'datapusher', 'datastore', 'officedocs_view', 'pdf_view', 'dcat', 'dcat_rdf_harvester', 'dcat_json_harvester', 'dcat_json_interface', 'structured_data', 'issues', 'sentry', 'envvars']",source,6916,source_url,3524,source_url,190,source_url,2017-11-11 08:17:36.495406,2023-07-03 11:42:31.510561,source_url
datashades.info,https://govtech.in.th,govtech.in.th,https://govtech.in.th,ยินดีต้อนรับ - Thagri,,200,https://govtech.in.th,Thagri,2.9.5,th,"['stats', 'text_view', 'image_view', 'recline_view', 'resource_proxy', 'datastore', 'xloader', 'geo_view', 'geojson_view', 'shp_view', 'wmts_view', 'webpage_view', 'pdf_view', 'dga_stats', 'thagri', 'thai_gdc', 'openapi_view', 'scheming_datasets', 'hierarchy_display', 'hierarchy_form', 'dcat', 'dcat_json_interface', 'structured_data']",source,378,source_url,0,source_url,6,source_url,2022-11-03 04:47:36.987073,2022-11-09 04:17:30.730566,source_url
datashades.info,https://opingogn.is,opingogn.is,https://opingogn.is,Velkomin(n) - Opin gögn,,200,http://opingogn.is,Opin gögn,2.5.2,is,"['stats', 'resource_proxy', 'text_view', 'recline_view', 'recline_map_view', 'recline_grid_view', 'recline_graph_view', 'webpage_view', 'iceland', 'googleanalytics', 'pages']",source,118,source_url,246,source_url,12,source_url,2014-05-20 13:50:18.595306,2023-06-13 22:47:28.243194,source_url
datashades.info,http://data.openpolice.ru,data.openpolice.ru,http://data.openpolice.ru,AttributeError,,404,,,,,,,,,,,,,,,
datashades.info,https://datos.agroindustria.gob.ar,datos.agroindustria.gob.ar,https://datos.agroindustria.gob.ar,"
    Datos Agricultura, Ganadería y Pesca",,200,https://datos.magyp.gob.ar,,2.7.6,es,"['stats', 'text_view', 'image_view', 'recline_grid_view', 'hierarchy_display', 'hierarchy_form', 'dcat', 'structured_data', 'gobar_theme', 'datastore', 'seriestiempoarexplorer', 'datapusher', 'googleanalytics']",source,154,source_url,900,source_url,42,source_url,2018-10-04 14:22:59.457688,2023-06-26 16:53:21.637589,source_url
datashades.info,http://dados.ufrn.br,dados.ufrn.br,http://dados.ufrn.br,Bem vindo - Dados Abertos da UFRN,,200,https://dados.ufrn.br,Dados Abertos da UFRN,2.5.2,pt_BR,"['stats', 'text_view', 'image_view', 'recline_view', 'datastore', 'datapusher', 'recline_grid_view', 'recline_map_view', 'recline_graph_view', 'webpage_view', 'resource_proxy']",source,85,source_url,192,source_url,1,source_url,2016-09-12 19:37:25.316546,2023-07-06 16:11:47.817194,source_url
datashades.info,http://data.odw.tw,data.odw.tw,http://data.odw.tw,Welcome - Open Data Web (Beta),,200,http://data.odw.tw,Open Data Web (Beta),2.5.6,en,"['iislod', 'tempsearch', 'text_view', 'image_view', 'recline_view', 'sparql_interface', 'harvest', 'dcat', 'dcat_json_interface', 'scheming_datasets', 'repeating', 'dc15_harvester', 'agent_harvester', 'project_harvester', 'event_harvester', 'article_harvester', 'r1_harvester', 'spatial_metadata', 'spatial_query']",source,1676352,source_url,0,source_url,2,source_url,2017-02-05 01:51:11.701873,2017-03-09 08:58:43.638061,source_url
datashades.info,https://data.gov.ie,data.gov.ie,https://data.gov.ie,Data.gov.ie,,200,https://data.gov.ie,data.gov.ie,2.8.12,en_GB,"['geo_view', 'shp_view', 'geojson_view', 'wmts_view', 'pdf_view', 'officedocs_view', 'pages', 'stats', 'text_view', 'image_view', 'recline_graph_view', 'recline_map_view', 'webpage_view', 'dcat', 'dcat_json_interface', 'datastore', 'datapusher', 'dietstars', 'resource_proxy', 'datatables_view', 'harvest', 'spatial_metadata', 'spatial_query', 'ckan_harvester', 'dgi_ckan_harvester', 'cork_city_ckan_harvester', 'dcat_rdf_harvester', 'hse_ckan_harvester', 'dublinked_ckan_harvester', 'tusla_ckan_harvester', 'housing_ckan_harvester', 'kildare_ckan_harvester', 'limerick_ckan_harvester', 'seai_ckan_harvester', 'esri_arcgis_harvester', 'arcgis_dcat_harvester', 'gemini_csw_harvester', 'dgi_gemini_harvester', 'isde_harvester', 'hplg_dcat_json_harvester', 'hplg_dcat_json_geospatial_harvester', 'showcase', 'jsonstat_view', 'datarequests', 'sqlalchemythread', 'uwsgistats', 'datastore_cleanup', 'dgithree', 'scheming_organizations', 'scheming_datasets', 'impactstories', 'likes', 'ytp_comments', 'dx_stats', 'haleandhearty', 'broken_links', 'fluent', 'twitterwidget']",source,14820,source_url,16338,source_url,162,source_url,2017-10-06 12:07:10.069145,2022-04-12 10:06:03.137099,source_url
datashades.info,https://geocatalogus.nl,geocatalogus.nl,https://geocatalogus.nl,GeoCatalogus.nl - GeoCatalogus.nl,,200,https://geocatalogus.nl,GeoCatalogus.nl,2.8.3,nl,"['envvars', 'image_view', 'text_view', 'recline_view', 'datastore', 'datapusher']",source,15,source_url,17,source_url,2,source_url,2020-02-05 15:14:13.087285,2023-07-05 09:49:44.341002,source_url
datashades.info,http://dados.mda.gov.br,dados.mda.gov.br,http://dados.mda.gov.br,Bem vindo - SEAD,,200,http://dados.mda.gov.br,SEAD,2.6.2,pt_BR,"['stats', 'text_view', 'image_view', 'recline_view', 'viewhelpers', 'dashboard_preview', 'datastore', 'datapusher', 'officedocs_view', 'pdf_view']",source,23,source_url,45,source_url,1,source_url,2017-07-20 18:20:26.655303,2019-03-11 15:06:33.692123,source_url
datashades.info,http://data.mariupolrada.gov.ua,data.mariupolrada.gov.ua,http://data.mariupolrada.gov.ua,Connection Error,,200,,,,,,,,,,,,,,,
